url,short,page,title,author,desc,quarter,year
http://www.alternativ.nu/butik/åter/2002/åter-402.html,"Timring. Fasta. Skärsvarva en skål. Husdjur till husbehov 1: Människan och husdjuret. Husets egen hårdost. Vinterrecept. -Nyutflyttade, hur går det för er? Utflyttarlista",NA,"NA","NA","NA",4,2002
http://www.alternativ.nu/butik/åter/2002/åter-302.html,Egen kryddgård. Leva utan ström. Växtfärgning. Färga med svamp. Rökning av kött och fisk. Get till husbehov. Vad är organisk-biologisk odling? Kunskapspersoner. Höstrecept.,NA,"NA","NA","NA",3,2002
http://www.alternativ.nu/butik/åter/2003/åter-203.html,Stickspån. Husdjur till husbehov: Byggnader. Brygg ditt eget öl. Halmbalshus. Sy en tipi. Sommarrecept. Nålbindning. Former för samarbete. Insänt. Föreningar.,3,Stickspån,Stina Wedman,"Att dela trä i tunna skivor och lägga på tak har varit vanligt på landsbygdens bostadshus och ekonomibyggnader fram till mitten av 1900-talet. Även timmerväggar har klätts med spån istället för panel. Spån, stickor, pärt, spiller - kärt barn har många namn - har ansetts vara ett enkelt byggnadsmaterial men detta till trots är det inte vem som helst som kan sätta igång tillverkning och genast göra spån av bra kvalitet. Det hantverkskunnande som tidigare var allmänt har till stor del hunnit försvinna.",2,2003
http://www.alternativ.nu/butik/åter/2003/åter-203.html,Stickspån. Husdjur till husbehov: Byggnader. Brygg ditt eget öl. Halmbalshus. Sy en tipi. Sommarrecept. Nålbindning. Former för samarbete. Insänt. Föreningar.,7,Byggnader,Håkan Hallander,Vid rationell djurhållning är byggnaderna en av de tyngsta posterna bland kostnaderna. Men om man bara skall hålla ett par höns eller några får vållar detta sällan några problem. Vid de flesta torp och gårdar finns uthus som kan användas med större eller mindre förbättringar. Oftast kan man göra dessa förbättringar själv.,2,2003
http://www.alternativ.nu/butik/åter/2003/åter-203.html,Stickspån. Husdjur till husbehov: Byggnader. Brygg ditt eget öl. Halmbalshus. Sy en tipi. Sommarrecept. Nålbindning. Former för samarbete. Insänt. Föreningar.,10,Brygg ditt eget öl!,"Bosse Bergenståhl, Torsten Hannerfeldt och Peter Högström",Det är inte svårt att brygga eget öl. Den utrustning som behövs har du förmodligen redan i ditt kök. Är du en smula händig kan du utan större problem tillverka enkla redskap som underlättar och förbättrar resultatet. Är du också intresserad av självförsörjning så kan du också både odla egen humle och mälta egen malt.,2,2003
http://www.alternativ.nu/butik/åter/2003/åter-203.html,Stickspån. Husdjur till husbehov: Byggnader. Brygg ditt eget öl. Halmbalshus. Sy en tipi. Sommarrecept. Nålbindning. Former för samarbete. Insänt. Föreningar.,14,-att bygga av halm och lera,Jesper Zander,Det finns många olika sätt att bygga med lera och lerjord är det vanligaste byggmaterialet världen över. Stampjord (pissé) är en gammal och beprövad teknik som fungerar bra även om vi i Sverige gärna vill ha mer isolerade hus. En nygammal metod är att bygga med halmbalar. När balpressen introducerades under andra halvan av 1800-talet började det byggas med halmbalar i Amerika och den traditionen har tagits upp och utvecklats. I Danmark har ekobyggandet kommit längre men även här börjar folk få upp ögonen för byggande med halm och lera. Här vid Gerlesborg i norra bohuslän finns nu fyra hus byggda i halmbalsteknik.,2,2003
http://www.alternativ.nu/butik/åter/2003/åter-203.html,Stickspån. Husdjur till husbehov: Byggnader. Brygg ditt eget öl. Halmbalshus. Sy en tipi. Sommarrecept. Nålbindning. Former för samarbete. Insänt. Föreningar.,16,-på tipisömnadskurs i Harestad.,Andi Röder,"I början var det tyg. Mycket tyg till och med. 120 löpande meter, om man vill vara noga. Detta skulle under en veckas tid förvandlas till 3 stolta, vita tipis i 5-meters-klassen. Mycket jobb väntade de 8 nyfikna kursdeltagarna.",2,2003
http://www.alternativ.nu/butik/åter/2003/åter-203.html,Stickspån. Husdjur till husbehov: Byggnader. Brygg ditt eget öl. Halmbalshus. Sy en tipi. Sommarrecept. Nålbindning. Former för samarbete. Insänt. Föreningar.,18,Sommarrecept,Petter Bergström,"Knäckebröd, Spannmålssallad, Rabarbergodis och -saft, Milkshake, Färska bär, Honungspudding, Fil/yogurt med sommarhonung, Kvarg, Enbärssnaps.",2,2003
http://www.alternativ.nu/butik/åter/2003/åter-203.html,Stickspån. Husdjur till husbehov: Byggnader. Brygg ditt eget öl. Halmbalshus. Sy en tipi. Sommarrecept. Nålbindning. Former för samarbete. Insänt. Föreningar.,20,Nålbindning,Jon Rosén,"Att med enkla medel sitta och knåpa ihop plagg av yllegarn, det har människan kunnat väldigt länge. Fast från början var det inte stickning man använde. Man har hittat spår från stenåldern av en teknik som kallas nålbindning och som har förekommit i alla världsdelar! Sveriges äldsta fynd är en vante i Åsle mosse, Väster­götland. Den har med pollenanalys åldersbestämts till yngre järnåldern ca 200-300 e Kr. Efter första världskriget föll tekniken nästan helt i glömska. Nålbindningen har även andra, lokala namn; binda, nåla, påta, söma mm.",2,2003
http://www.alternativ.nu/butik/åter/2003/åter-203.html,Stickspån. Husdjur till husbehov: Byggnader. Brygg ditt eget öl. Halmbalshus. Sy en tipi. Sommarrecept. Nålbindning. Former för samarbete. Insänt. Föreningar.,24,Former för samarbete,Kåre Olsson,"Att kunna samarbeta med andra är en viktig kompetens för alla människor. Om man tänker arbeta ihop med andra i grupper, som själva har valt vad och hur man skall göra, är det till och med en nödvändig kompetens. Då kan man inte luta sig emot en organisation, eller instruktion, eller annat som finns utanför den egna gruppen. Några ”dom” som har det övergripande ansvaret finns inte. Alltså är gruppens medlemmar hänvisade till sig själva och en avgörande faktor för att lyckas är att man faktiskt kan samarbeta.",2,2003
http://www.alternativ.nu/butik/åter/2003/åter-203.html,Stickspån. Husdjur till husbehov: Byggnader. Brygg ditt eget öl. Halmbalshus. Sy en tipi. Sommarrecept. Nålbindning. Former för samarbete. Insänt. Föreningar.,26,Insänt,Vi gör ett prov med en insändarsida:,Låt bina svärma! Ang. artikel om skogsbruk i förra ÅterDricka asklut Hässjning på träslanor,2,2003
http://www.alternativ.nu/butik/åter/2003/åter-203.html,Stickspån. Husdjur till husbehov: Byggnader. Brygg ditt eget öl. Halmbalshus. Sy en tipi. Sommarrecept. Nålbindning. Former för samarbete. Insänt. Föreningar.,28,Föreningar,Sid 28:FöreningarDet har nu gått två år sedan förra gången föreningslistan publicerades. Ett tjugotal föreningar har tillkommit och de flesta andra behövde fräscha till sina uppgifter. All information kommer från föreningarna själva och är inhämtade precis innan tryckningen av detta nummer.,Sid 28:FöreningarDet har nu gått två år sedan förra gången föreningslistan publicerades. Ett tjugotal föreningar har tillkommit och de flesta andra behövde fräscha till sina uppgifter. All information kommer från föreningarna själva och är inhämtade precis innan tryckningen av detta nummer.,2,2003
http://www.alternativ.nu/butik/åter/2003/åter-303.html,Ny bok: Shelter. Skor på fötterna. Spinna med slända. Ta vara på skörden. Varm av sol och ved. Läsarfråga: Korvskinn. Gör ditt eget äppelvin. Hur går det för Engla? Läsartips: att få ihop pengar. Husdjur till husbehov: Stängsel.,3,Skor på fötterna,Susanne Swedjemark,"När man bläddrar i litteratur om skor och skohistoria finner man att utöver mängder av fantasifulla och finurliga former så är snart sagt alla material representerade, från silverplåt och siden till rishalm, trä, bildäck, ull och fiskskinn. I vår kultur, genom historien, är förmodligen skinn från däggdjur det vanligaste materialet, tillsammans med trä. Här nedan beskrivs några olika skor från vår del av världen. Modellerna är ganska enkla, så prova gärna att göra någon! Det går inte åt så mycket material så det kan vara en god idé med återbruk. Gamla skinnkläder eller filtar är bra material att prova i.",3,2003
http://www.alternativ.nu/butik/åter/2003/åter-303.html,Ny bok: Shelter. Skor på fötterna. Spinna med slända. Ta vara på skörden. Varm av sol och ved. Läsarfråga: Korvskinn. Gör ditt eget äppelvin. Hur går det för Engla? Läsartips: att få ihop pengar. Husdjur till husbehov: Stängsel.,5,Så garvar du skinnet till dina norrländska kängskor,Aja Petterson,"Norrlandsläder kallas det skinn som man sydde kängskor av förr i tiden. Det är ett skinn som inte är helt genomgarvat, det är i torrt tillstånd hårt. Med tiden mjuknar det genom att man smörjer in skorna och bearbetar dom när man går.",3,2003
http://www.alternativ.nu/butik/åter/2003/åter-303.html,Ny bok: Shelter. Skor på fötterna. Spinna med slända. Ta vara på skörden. Varm av sol och ved. Läsarfråga: Korvskinn. Gör ditt eget äppelvin. Hur går det för Engla? Läsartips: att få ihop pengar. Husdjur till husbehov: Stängsel.,6,Stängsel,Håkan Hallander,"En mycket viktig förutsättning för all djurhållning är lämpliga stängsel. Dåliga och undermåliga stängsel resulterar förr eller senare, vanligen förr, i att djuren går ut och ställer till problem. Enligt lagen om ”tingens maximala förargelse” händer sådant förstås nästan alltid när man själv har som sämst tid att ta itu med de utsprungna djuren. Bortsett från det obehag och onödiga extraarbete som det innebär att försöka få in djuren igen, kan utbrytningen föra med sig dryga kostnader för djurägaren. Denne är nämligen alltid ansvarig för vad djuren ställer till med.",3,2003
http://www.alternativ.nu/butik/åter/2003/åter-303.html,Ny bok: Shelter. Skor på fötterna. Spinna med slända. Ta vara på skörden. Varm av sol och ved. Läsarfråga: Korvskinn. Gör ditt eget äppelvin. Hur går det för Engla? Läsartips: att få ihop pengar. Husdjur till husbehov: Stängsel.,10,Ta vara på skörden,Petter Bergström,"Det är nu det gäller. Att hinna ta vara på allt. Att konservera, lägga in, sylta, salta, safta, torka och fylla jordkällare och stukor. Det ska vara riktigt gjort så att maten håller sig och smakar bra till nästa skörd kommer. Men det får inte ta sådan tid att vi inte hinner ta vara på allt. Det vore bra med en lista över alla olika sätt att ta tillvara alla olika grönsaker, frukter och bär. En sådan finns tyvärr inte och fanns den skulle den inte få plats i Åter. Jag tänkte i stället bara förmedla några egna favoriter, några enkla och annorlunda sätt att ta till vara skörden. Men först vill jag bara snabbt dra grunderna för de olika metoderna, för de som inte har någon koll alls.",3,2003
http://www.alternativ.nu/butik/åter/2003/åter-303.html,Ny bok: Shelter. Skor på fötterna. Spinna med slända. Ta vara på skörden. Varm av sol och ved. Läsarfråga: Korvskinn. Gör ditt eget äppelvin. Hur går det för Engla? Läsartips: att få ihop pengar. Husdjur till husbehov: Stängsel.,14,-Hur går det för Engla som lånade pengar till fröer ur Återfonden?,Jens Reutercrona,Rödbetorna står i vackra mönster och squashens gula blommor lyser starkt mot det gröna runtomkring. Det är den första planteringen som möter när man klivit iland på Söderholms ångbåtsbrygga. Nyponbuskarna står i full blom. Det är i början av juli och för besökaren råder ett rofyllt lugn på ön.,3,2003
http://www.alternativ.nu/butik/åter/2003/åter-303.html,Ny bok: Shelter. Skor på fötterna. Spinna med slända. Ta vara på skörden. Varm av sol och ved. Läsarfråga: Korvskinn. Gör ditt eget äppelvin. Hur går det för Engla? Läsartips: att få ihop pengar. Husdjur till husbehov: Stängsel.,16,-självförsörjande på värme,Lars Andrén,Jag mötte arkitekten Hans Eek från Alingsås på tåget för några år sedan. Han berättade då att han arbetade med ett projekt som gick under namnet ”Hus utan värmesystem”. Jag fängslades av hans vision och hur han engagerat beskrev att: ”husen var så välisolerade så frös man fick man ta av sig för att låta kroppsvärmen värma upp huset”. Det här var ingen utopi. Projektet är genomfört och husen finns i Särö utanför Göteborg.,3,2003
http://www.alternativ.nu/butik/åter/2003/åter-303.html,Ny bok: Shelter. Skor på fötterna. Spinna med slända. Ta vara på skörden. Varm av sol och ved. Läsarfråga: Korvskinn. Gör ditt eget äppelvin. Hur går det för Engla? Läsartips: att få ihop pengar. Husdjur till husbehov: Stängsel.,18,Bygg om din oljetank till en ackumulatortank kopplad till vedpanna och solfångare!,Jorma Kahanpää,"För att uppnå ett hållbart energisystem måste elanvändningen minska. I Sverige använder vi 2-3 gånger så mycket el som i jämförbara industriländer på kontinenten. Den främsta orsaken till detta är att vi förbyggt oss på elproduktionsanläggningar, dvs kärnkraft. Det mesta av elen producerad i våra kärnkraftverk går till (el-)uppvärmning. Uppvärmning klarar vi bäst och miljövänligast med biobränslen och solvärme. ",3,2003
http://www.alternativ.nu/butik/åter/2003/åter-303.html,Ny bok: Shelter. Skor på fötterna. Spinna med slända. Ta vara på skörden. Varm av sol och ved. Läsarfråga: Korvskinn. Gör ditt eget äppelvin. Hur går det för Engla? Läsartips: att få ihop pengar. Husdjur till husbehov: Stängsel.,19,"-ur boken ""Utblick från en gårdsplan""",Ingemar Zachrisson,De senaste veckorna har vedtraven på lagårdsbacken vuxit. Samtidigt har vältorna av virke minskat. Under eftervintern har upptaget vedbränsle tagit mer och mer plats. Frågan är om vedhuggningen har givit mera utrymme på gårdsplanen. Kanske har den mest förändrat utseendet. En del ved är hämtad från hagen. Där är nu städat från de högar av virke som fåren rensat från bark.,3,2003
http://www.alternativ.nu/butik/åter/2003/åter-303.html,Ny bok: Shelter. Skor på fötterna. Spinna med slända. Ta vara på skörden. Varm av sol och ved. Läsarfråga: Korvskinn. Gör ditt eget äppelvin. Hur går det för Engla? Läsartips: att få ihop pengar. Husdjur till husbehov: Stängsel.,20,Spinna med slända,Annika Wahlberg,"Sländan är det äldsta spinnredskapet, och är fortfarande i bruk över hela världen. Den är fortfarande oumbärlig i de fattiga delarna av världen. En slända kan se ut på många olika sätt, den är ganska enkel att göra själv, och med lite träning är det både enkelt och roligt att spinna. ",3,2003
http://www.alternativ.nu/butik/åter/2003/åter-303.html,Ny bok: Shelter. Skor på fötterna. Spinna med slända. Ta vara på skörden. Varm av sol och ved. Läsarfråga: Korvskinn. Gör ditt eget äppelvin. Hur går det för Engla? Läsartips: att få ihop pengar. Husdjur till husbehov: Stängsel.,21,Korvskinn,Petter Bergström,"Elin och Mattis: -Vi är en familj som nyligen upptäckt glädjen att göra egen korv. Vi har provat flera olika varianter, med både får och gris och nästan alla har lyckats över förväntan, särskilt de som vi varmrökt. Eftersom vi undviker produkter från djurindustrin i övrigt, skulle det kännas bra om vi även kunde använda egna fjälster. Har hört att det är bökigt och slabbigt, men det skulle vara roligt att prova att tavara på tarmarna nu i höst och undrar därför hur man gör.  Petter: -Nej, det är varken bökigt eller slabbigt och jag tycker det är jätteroligt att ni vill prova på det. Det vore en förlust om såna här traditioner och kunskaper kring tillvaratagande vid slakten glömdes bort. Så här går det till...",3,2003
http://www.alternativ.nu/butik/åter/2003/åter-303.html,Ny bok: Shelter. Skor på fötterna. Spinna med slända. Ta vara på skörden. Varm av sol och ved. Läsarfråga: Korvskinn. Gör ditt eget äppelvin. Hur går det för Engla? Läsartips: att få ihop pengar. Husdjur till husbehov: Stängsel.,22,,Sid 22:Tema: Läsartips om att få ihop pengar Det är svårt att komma förbi ett visst behov av pengar. Men att skaffa dem behöver inte innebära att sälja sin tid på ett tråkigt lönearbete inne i stan. Vi har fått några brev från läsare som vill tipsa om hur man på ett meningsfullt sätt kan få in de pengar man behöver. Utan att lämna gårdsplanen.  ,Sid 22:Tema: Läsartips om att få ihop pengar Det är svårt att komma förbi ett visst behov av pengar. Men att skaffa dem behöver inte innebära att sälja sin tid på ett tråkigt lönearbete inne i stan. Vi har fått några brev från läsare som vill tipsa om hur man på ett meningsfullt sätt kan få in de pengar man behöver. Utan att lämna gårdsplanen.  ,3,2003
http://www.alternativ.nu/butik/åter/2003/åter-303.html,Ny bok: Shelter. Skor på fötterna. Spinna med slända. Ta vara på skörden. Varm av sol och ved. Läsarfråga: Korvskinn. Gör ditt eget äppelvin. Hur går det för Engla? Läsartips: att få ihop pengar. Husdjur till husbehov: Stängsel.,NA,Stå på många ben,Margareta och Ingemar Zachrisson,"Hur får vi kontanta medel för vårt uppehälle? Husmor hade förr en äggkorg på armen när hon gick till byhandeln. Då kunde hon byta till sig socker, jäst och annat hon behövde. Idag är det inte lika lätt att göra så.",3,2003
http://www.alternativ.nu/butik/åter/2003/åter-303.html,Ny bok: Shelter. Skor på fötterna. Spinna med slända. Ta vara på skörden. Varm av sol och ved. Läsarfråga: Korvskinn. Gör ditt eget äppelvin. Hur går det för Engla? Läsartips: att få ihop pengar. Husdjur till husbehov: Stängsel.,NA, Fördela arbetet över året,Achim Bäppler,Så här tjänar jag tillräckligt mycket pengar genom arbete som för mig är både idealistiskt och alternativt.,3,2003
http://www.alternativ.nu/butik/åter/2003/åter-303.html,Ny bok: Shelter. Skor på fötterna. Spinna med slända. Ta vara på skörden. Varm av sol och ved. Läsarfråga: Korvskinn. Gör ditt eget äppelvin. Hur går det för Engla? Läsartips: att få ihop pengar. Husdjur till husbehov: Stängsel.,NA,Angorakaniner,Gunilla Larsholt,18 år med angorakaniner och dess ull! Hantverk och djur har i hela mitt liv varit ett intresse. Därför är det en mycket stor fördel att kunna få kombinera dessa intressen och även få lite inkomster!  ,3,2003
http://www.alternativ.nu/butik/åter/2003/åter-303.html,Ny bok: Shelter. Skor på fötterna. Spinna med slända. Ta vara på skörden. Varm av sol och ved. Läsarfråga: Korvskinn. Gör ditt eget äppelvin. Hur går det för Engla? Läsartips: att få ihop pengar. Husdjur till husbehov: Stängsel.,NA,Biodling,Carl Otto Mattson,I ett småskaligt självhushåll på landsbygden är biodling en självskriven ingrediens. Med en relativt blygsam arbetsinsats får du inte bara ljuvlig honung till egna hushållet utan också ett överskott som lätt kan säljas och ge en liten inkomst. ,3,2003
http://www.alternativ.nu/butik/åter/2003/åter-303.html,Ny bok: Shelter. Skor på fötterna. Spinna med slända. Ta vara på skörden. Varm av sol och ved. Läsarfråga: Korvskinn. Gör ditt eget äppelvin. Hur går det för Engla? Läsartips: att få ihop pengar. Husdjur till husbehov: Stängsel.,NA,Odla örter,Maria & Michael Olofsson,"Vi är en familj med 2 vuxna och 3 barn. Michael arbetar heltid på Electrolux, Maria jobbar deltid som lantbruksavbytare, Erik 16 år ska börja byggprogrammet, Elin 13år, Emeli 7år. Vi bor på en liten gård i Lugnås ca. 2mil söder om Mariestad och vår dröm är att kunna få bättre lönsamhet hemma och inte behöva jobba borta så mycket. Just nu har vi 9 st hästar, 65 tackor som lammar i December. Vi säljer lammen till slakt mellan påsk och pingst. Vi har också en örtodling.",3,2003
http://www.alternativ.nu/butik/åter/2003/åter-303.html,Ny bok: Shelter. Skor på fötterna. Spinna med slända. Ta vara på skörden. Varm av sol och ved. Läsarfråga: Korvskinn. Gör ditt eget äppelvin. Hur går det för Engla? Läsartips: att få ihop pengar. Husdjur till husbehov: Stängsel.,NA,1000m2 pepparmynta,"1000m2 pepparmyntaExempel ur boken Örter -odla, skörda sälja","1000m2 pepparmyntaExempel ur boken Örter -odla, skörda sälja",3,2003
http://www.alternativ.nu/butik/åter/2003/åter-303.html,Ny bok: Shelter. Skor på fötterna. Spinna med slända. Ta vara på skörden. Varm av sol och ved. Läsarfråga: Korvskinn. Gör ditt eget äppelvin. Hur går det för Engla? Läsartips: att få ihop pengar. Husdjur till husbehov: Stängsel.,26,Gör ditt eget äppelvin,Michael Bergman,"När jag var 15 år, våren 1977, hittade jag ett recept på maskrosvin i en tidning. Jag hade sedan en tid varit nyfiken på att göra eget vin, jag plockade maskrosblommor flitigt och gjorde en liten sats på kanske 3-4 liter. Det blev nog aldrig riktigt färdigt vin innan jag hade provsmakat och lockat andra att smaka av min jäsande maskrossaft. Det tog slut. Men mitt intresse var väckt att göra eget vin. Nästa vin blev ett äpplevin som jag gjorde tillsammans med min farfar. Han hade gjort fruktvin hemma sedan 1920-30-talet och jag minns fortfarande hur jag som 8-åring fick smaka russinvin, en god saft som jag blev varm och lite uppspelt av. ",3,2003
http://www.alternativ.nu/butik/åter/2003/åter-303.html,Ny bok: Shelter. Skor på fötterna. Spinna med slända. Ta vara på skörden. Varm av sol och ved. Läsarfråga: Korvskinn. Gör ditt eget äppelvin. Hur går det för Engla? Läsartips: att få ihop pengar. Husdjur till husbehov: Stängsel.,29,Boken Shelter,"Sid 29:Boken ShelterPetter Bergström Shelter är utan jämförelse den brokigaste, mest banbrytande och häpnadsväckande bok om boende jag stött på. Ett så totalt urflippat men ändå omfattande verk tillhör inte vanligheterna.  ","Sid 29:Boken ShelterPetter Bergström Shelter är utan jämförelse den brokigaste, mest banbrytande och häpnadsväckande bok om boende jag stött på. Ett så totalt urflippat men ändå omfattande verk tillhör inte vanligheterna.  ",3,2003
http://www.alternativ.nu/butik/åter/2003/åter-403.html,"Tvåvåningshus i lera. Husdjur till husbehov: Beten, foder, vatten. Knopar och rep. Utflyttarbrev. På julbordet. Växtföljd. Slöjda i färskt trä. Ljusstöpning. Mjöd. Svampodling. Läsarbrev. Självhushållarkryss.",3,Maja bygger tvåvåningshus i lera,Jenny Andersson,I Vekhyttan utanför Fjugesta sydväst om Örebro bygger Maja Malmgren ett lerhus i två våningar. Arbetet påbörjades för två år sedan och nu fylls utrymmet mellan stommens träreglar med lera.,4,2003
http://www.alternativ.nu/butik/åter/2003/åter-403.html,"Tvåvåningshus i lera. Husdjur till husbehov: Beten, foder, vatten. Knopar och rep. Utflyttarbrev. På julbordet. Växtföljd. Slöjda i färskt trä. Ljusstöpning. Mjöd. Svampodling. Läsarbrev. Självhushållarkryss.",6,"Beten, foder, vatten",Håkan Hallander,"En av fördelarna med husdjursskötsel i liten skala är att smärre naturresurser som annars ligger outnyttjade kan komma till användning. Små beteshagar kan föda några getter, får eller en hushållsko. Dikesrenar, små åkerlappar och liknande småmarker kan användas för höproduktion. Lövträd som asp, sälg, ask, lind, pil med flera kan hamlas (beskäras) för att få löv till foder.",4,2003
http://www.alternativ.nu/butik/åter/2003/åter-403.html,"Tvåvåningshus i lera. Husdjur till husbehov: Beten, foder, vatten. Knopar och rep. Utflyttarbrev. På julbordet. Växtföljd. Slöjda i färskt trä. Ljusstöpning. Mjöd. Svampodling. Läsarbrev. Självhushållarkryss.",10,Knopar och rep,Sune Berkeman,Bra knopar för de vanligaste tillfällena.,4,2003
http://www.alternativ.nu/butik/åter/2003/åter-403.html,"Tvåvåningshus i lera. Husdjur till husbehov: Beten, foder, vatten. Knopar och rep. Utflyttarbrev. På julbordet. Växtföljd. Slöjda i färskt trä. Ljusstöpning. Mjöd. Svampodling. Läsarbrev. Självhushållarkryss.",11,Utflyttarbrev,Lars Andersson-Fröjd,"I skrivande stund, när grödorna frodas, överflödar och mognar i gulmånens sensommartid, börjar jag känna mig rätt väletablerad som ”nytorpare”. Förra årets skördar räckte med god marginal - tills dess att vårens första gåvor från jorden var färdiga.",4,2003
http://www.alternativ.nu/butik/åter/2003/åter-403.html,"Tvåvåningshus i lera. Husdjur till husbehov: Beten, foder, vatten. Knopar och rep. Utflyttarbrev. På julbordet. Växtföljd. Slöjda i färskt trä. Ljusstöpning. Mjöd. Svampodling. Läsarbrev. Självhushållarkryss.",12,På julbordet,Petter Bergström,"I vår familj har vi nog glömt bort det här med julklappar ganska mycket, men julmaten är desto viktigare. Maten och den långsamma mysiga pysselstämningen innan jul. Det börjar lite smått redan vid första advent för att sedan eskalera betydligt vid Lucia och grisslakt med allt vad det innebär. Som självförsörjare är det lätt att man anammar många av den gamla tidens seder och traditioner. Det är väl så, att kultur växer ur det sätt som människor lever av naturen.",4,2003
http://www.alternativ.nu/butik/åter/2003/åter-403.html,"Tvåvåningshus i lera. Husdjur till husbehov: Beten, foder, vatten. Knopar och rep. Utflyttarbrev. På julbordet. Växtföljd. Slöjda i färskt trä. Ljusstöpning. Mjöd. Svampodling. Läsarbrev. Självhushållarkryss.",14,Växtföljd,Victoria Hallberg,"En god skörd med väl utvecklad gröda ställer krav på sin växtplats. I ekologisk odling är växtföljden, dvs vilka grödor som väljs och hur de följer på varandra, av helt avgörande betydelse för odlingsutfallet. ",4,2003
http://www.alternativ.nu/butik/åter/2003/åter-403.html,"Tvåvåningshus i lera. Husdjur till husbehov: Beten, foder, vatten. Knopar och rep. Utflyttarbrev. På julbordet. Växtföljd. Slöjda i färskt trä. Ljusstöpning. Mjöd. Svampodling. Läsarbrev. Självhushållarkryss.",18,Slöjda i färskt trä,Anders Lindberg,"Man behöver varken plank, brädor eller maskiner för att slöjda i trä, med några handverktyg och färskt trä i form av stammar eller grenar kan man åstadkomma en hel del.",4,2003
http://www.alternativ.nu/butik/åter/2003/åter-403.html,"Tvåvåningshus i lera. Husdjur till husbehov: Beten, foder, vatten. Knopar och rep. Utflyttarbrev. På julbordet. Växtföljd. Slöjda i färskt trä. Ljusstöpning. Mjöd. Svampodling. Läsarbrev. Självhushållarkryss.",20,Ljusstöpning,Ester Nilsson,"Om att stöpa ljus av talg, stegarin, paraffin och bivax.",4,2003
http://www.alternativ.nu/butik/åter/2003/åter-403.html,"Tvåvåningshus i lera. Husdjur till husbehov: Beten, foder, vatten. Knopar och rep. Utflyttarbrev. På julbordet. Växtföljd. Slöjda i färskt trä. Ljusstöpning. Mjöd. Svampodling. Läsarbrev. Självhushållarkryss.",22,Mjöd,Håkan Lundgren,"För alla som har tillgång till honung finns idag möjligheten att på ett relativt enkelt sätt förädla densamma till en gudadryck. Det behövs ingen avancerad utrustning, det handlar bara om att tillföra en kontrollerad jäst till en steriliserad honungslag.",4,2003
